               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12338,            0.029492,            0.027535,           0.0015126,            0.041667,          0.00028285,          2.8285e-05,             0.10389,            0.023124,            0.024203,              0.0001,              0.0001,              0.0991
                   1,             0.12275,            0.030343,            0.027729,           0.0020165,            0.041667,          0.00023884,          2.3884e-05,             0.10174,            0.022586,            0.024335,          0.00020995,          0.00020995,             0.09811
                   2,              0.1171,            0.028311,            0.027642,           0.0018753,            0.041667,          0.00032097,          5.8151e-05,            0.098631,            0.022257,            0.024742,          0.00031972,          0.00031972,             0.09712
                   3,             0.10869,            0.026894,            0.024517,           0.0015941,            0.041667,          0.00030118,          3.0118e-05,            0.095795,            0.022138,             0.02516,          0.00042914,          0.00042914,            0.096129
                   4,              0.1102,            0.025397,            0.024633,          0.00063695,             0.16667,          0.00038833,          4.6827e-05,            0.092829,            0.021958,            0.025822,          0.00053808,          0.00053808,            0.095138
                   5,             0.11052,            0.026238,            0.025172,           0.0011423,               0.125,          0.00053422,          7.4697e-05,            0.089627,             0.02151,            0.026514,           0.0006464,           0.0006464,            0.094146
                   6,             0.10803,            0.025997,            0.025796,           0.0041342,            0.083333,           0.0023607,          0.00039802,            0.087144,            0.021054,            0.027011,          0.00075394,          0.00075394,            0.093154
                   7,             0.10501,            0.027379,             0.02423,           0.0025052,            0.083333,           0.0018229,          0.00036184,             0.08502,             0.02063,            0.027724,          0.00086057,          0.00086057,            0.092161
                   8,             0.10153,             0.02425,            0.024549,           0.0036367,               0.125,           0.0028677,           0.0003978,            0.083851,            0.020015,            0.028873,          0.00096615,          0.00096615,            0.091166
                   9,            0.091602,            0.023868,             0.02065,            0.010094,            0.083333,            0.004369,          0.00067565,            0.081807,            0.019772,            0.029711,           0.0010705,           0.0010705,            0.090171
                  10,              0.1005,            0.023577,             0.02248,           0.0096288,            0.083333,           0.0043065,           0.0011258,            0.080381,            0.019346,            0.030293,           0.0011736,           0.0011736,            0.089174
                  11,            0.097512,            0.024818,            0.020814,            0.010921,            0.041667,           0.0036191,          0.00074546,            0.078743,            0.019295,            0.031016,           0.0012751,           0.0012751,            0.088175
                  12,            0.094726,            0.024297,            0.021326,            0.009236,            0.041667,           0.0031074,          0.00063323,            0.076117,            0.019393,            0.031517,           0.0013751,           0.0013751,            0.087175
                  13,            0.092824,             0.02382,            0.019718,            0.011027,            0.041667,           0.0028228,          0.00074933,            0.074392,            0.019138,            0.033696,           0.0014734,           0.0014734,            0.086173
                  14,            0.092434,            0.024269,            0.019268,           0.0032832,             0.16667,           0.0023008,          0.00046401,            0.074442,            0.018685,            0.035653,           0.0015698,           0.0015698,             0.08517
                  15,            0.087216,            0.020289,            0.016514,           0.0014738,                0.25,           0.0011407,           0.0002283,            0.073721,            0.018417,             0.03819,           0.0016642,           0.0016642,            0.084164
                  16,            0.091464,            0.023967,            0.017185,           0.0014281,             0.33333,           0.0012303,          0.00029416,            0.072884,            0.018025,            0.042006,           0.0017565,           0.0017565,            0.083156
                  17,            0.091362,             0.02703,            0.017036,          0.00098547,            0.041667,          0.00067246,          0.00019902,            0.072156,             0.01762,            0.045423,           0.0018465,           0.0018465,            0.082147
                  18,            0.086725,            0.023889,            0.015768,          0.00085471,             0.16667,          0.00049246,          9.7204e-05,            0.071023,            0.017577,            0.047148,           0.0019343,           0.0019343,            0.081134
                  19,            0.088807,            0.025962,            0.015821,           0.0015289,            0.083333,           0.0010189,          0.00021233,            0.069885,            0.017399,            0.049133,           0.0020196,           0.0020196,             0.08012
                  20,            0.089934,            0.024408,            0.015172,           0.0017461,            0.083333,           0.0013721,          0.00024231,             0.06933,            0.017071,             0.05116,           0.0021023,           0.0021023,            0.079102
                  21,            0.079394,            0.021991,            0.012887,           0.0015128,               0.125,           0.0012676,          0.00033553,            0.067575,            0.017156,            0.052505,           0.0021824,           0.0021824,            0.078082
                  22,            0.082734,            0.022333,            0.014088,           0.0022672,            0.083333,           0.0020703,          0.00044201,            0.067597,            0.016844,            0.052906,           0.0022598,           0.0022598,             0.07706
                  23,            0.084982,            0.021967,            0.013838,           0.0050222,            0.041667,           0.0031482,          0.00065225,            0.064364,            0.016826,             0.05564,           0.0023343,           0.0023343,            0.076034
                  24,            0.082636,            0.024707,            0.011654,           0.0093024,            0.041667,           0.0036417,          0.00081019,            0.064576,            0.016441,            0.059961,           0.0024058,           0.0024058,            0.075006
                  25,            0.080255,            0.024194,            0.010779,           0.0018899,             0.16667,           0.0021058,          0.00047699,            0.066856,            0.015695,            0.063225,           0.0024744,           0.0024744,            0.073974
                  26,            0.079261,             0.02147,             0.01036,            0.002525,             0.16667,           0.0024104,          0.00052523,            0.064987,            0.015618,            0.064958,           0.0025398,           0.0025398,             0.07294
                  27,            0.076429,            0.022216,             0.01025,           0.0043411,            0.041667,           0.0030296,          0.00046141,            0.060378,            0.016047,            0.067021,           0.0026021,           0.0026021,            0.071902
                  28,            0.078143,            0.023482,           0.0086745,           0.0090436,            0.083333,           0.0043301,          0.00070522,            0.060276,            0.015994,            0.070678,           0.0026612,           0.0026612,            0.070861
                  29,            0.073875,            0.024012,           0.0099686,           0.0031629,             0.29167,           0.0031675,          0.00047367,            0.058792,            0.015802,            0.074804,           0.0027169,           0.0027169,            0.069817
                  30,            0.076797,            0.025385,           0.0073524,           0.0065282,            0.041667,           0.0033325,          0.00055638,            0.060796,            0.015305,            0.079508,           0.0027693,           0.0027693,            0.068769
                  31,            0.075173,             0.01918,           0.0070192,            0.014848,            0.041667,           0.0056394,            0.001008,            0.060616,            0.015074,            0.080652,           0.0028183,           0.0028183,            0.067718
                  32,            0.075675,            0.021542,           0.0064171,             0.11024,            0.036748,             0.01636,           0.0048938,            0.064796,            0.013986,            0.084942,           0.0028639,           0.0028639,            0.066664
                  33,            0.070581,             0.02059,           0.0073369,             0.24377,            0.041667,            0.025203,           0.0053787,            0.063429,            0.014355,            0.087035,           0.0029059,           0.0029059,            0.065606
                  34,            0.076985,            0.022102,           0.0070119,             0.48571,            0.041667,             0.04617,           0.0050728,            0.064316,            0.014088,            0.086999,           0.0029445,           0.0029445,            0.064544
                  35,            0.076675,            0.023005,           0.0072364,            0.075687,            0.041667,            0.014052,           0.0027731,            0.062379,            0.014125,             0.09122,           0.0029795,           0.0029795,            0.063479
                  36,            0.070005,            0.021287,           0.0051557,             0.24358,            0.041667,            0.031775,            0.009897,             0.05685,            0.014427,            0.091012,           0.0030109,           0.0030109,            0.062411
                  37,            0.072271,            0.022713,           0.0051996,            0.010686,               0.125,           0.0059679,           0.0016977,            0.062623,            0.013531,            0.093958,           0.0030387,           0.0030387,            0.061339
                  38,            0.064449,            0.020934,           0.0041776,            0.075851,            0.041667,            0.017993,           0.0068245,            0.063379,            0.012823,            0.094366,            0.003063,            0.003063,            0.060263
                  39,            0.073734,            0.021338,           0.0048781,             0.43736,            0.041667,            0.050467,           0.0056555,             0.05952,            0.013294,            0.097025,           0.0030837,           0.0030837,            0.059184
                  40,            0.073001,            0.022276,           0.0048202,             0.16561,            0.041667,              0.0532,            0.016448,            0.055106,            0.013779,            0.097477,           0.0031008,           0.0031008,            0.058101
                  41,            0.070215,            0.020103,           0.0049421,            0.061747,            0.041667,            0.013601,           0.0052881,            0.066233,            0.012188,            0.097962,           0.0031143,           0.0031143,            0.057014
                  42,            0.073213,            0.019361,           0.0046108,            0.030872,            0.041667,           0.0062803,           0.0010973,            0.060179,             0.01272,            0.099386,           0.0031242,           0.0031242,            0.055924
                  43,            0.066283,            0.021286,           0.0038204,             0.11165,            0.041667,            0.018103,           0.0026635,            0.065393,              0.0121,             0.10045,           0.0031306,           0.0031306,            0.054831
                  44,            0.072326,            0.019168,           0.0043723,             0.22488,            0.041667,             0.02472,           0.0054696,            0.058965,            0.012802,             0.10117,           0.0031335,           0.0031335,            0.053734
                  45,            0.068342,            0.023823,            0.003621,            0.029597,            0.041667,           0.0055803,           0.0011602,            0.054471,            0.013193,             0.10209,            0.003133,            0.003133,            0.052633
                  46,             0.06755,            0.022848,           0.0054466,            0.050914,            0.041667,           0.0064909,           0.0015769,            0.053041,            0.013374,             0.10276,            0.003129,            0.003129,            0.051529
                  47,            0.067877,             0.02474,           0.0045679,            0.096603,            0.083333,            0.020007,           0.0054039,            0.060583,            0.012186,             0.10436,           0.0031217,           0.0031217,            0.050422
                  48,            0.068496,            0.019079,           0.0031078,            0.061991,            0.041667,           0.0068159,           0.0016394,            0.060998,            0.012173,             0.10471,            0.003111,            0.003111,            0.049311
                  49,            0.067748,            0.019804,           0.0028479,           0.0013783,                 0.5,           0.0014064,          0.00038103,            0.057217,            0.012589,             0.10583,           0.0030971,           0.0030971,            0.048197
                  50,            0.065222,            0.020307,           0.0032302,            0.026945,            0.041667,           0.0049278,           0.0010054,            0.055839,            0.012549,             0.10616,             0.00308,             0.00308,             0.04708
                  51,            0.062197,             0.01949,            0.004164,           0.0017109,             0.33333,           0.0018123,          0.00077415,             0.05281,             0.01272,             0.10526,           0.0030598,           0.0030598,             0.04596
                  52,             0.06684,            0.022845,           0.0038687,           0.0012262,             0.45833,           0.0013009,          0.00040873,            0.060486,            0.011835,             0.10633,           0.0030366,           0.0030366,            0.044837
                  53,            0.071368,            0.018347,           0.0031558,           0.0019947,             0.45833,           0.0020732,          0.00067398,            0.058728,            0.011949,             0.10259,           0.0030104,           0.0030104,             0.04371
                  54,            0.068425,            0.018702,            0.002825,           0.0017879,               0.125,           0.0016572,          0.00058985,            0.056656,            0.011962,             0.10387,           0.0029813,           0.0029813,            0.042581
