               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.079193,            0.021889,           0.0047975,                   1,             0.49907,             0.50819,              0.3293,            0.093288,           0.0095284,           0.0036028,           0.0071268,           0.0071268,            0.011027
                  37,            0.070068,            0.021981,           0.0043572,             0.45369,             0.57143,             0.51116,             0.28962,             0.08846,           0.0087792,           0.0029167,           0.0071924,           0.0071924,           0.0084924
                  38,            0.067552,            0.023733,           0.0043281,             0.50976,             0.53571,              0.5044,             0.17494,            0.089016,           0.0090215,           0.0029017,           0.0071566,           0.0071566,           0.0071566
                  39,            0.069581,            0.021055,           0.0035514,             0.25708,                 0.5,             0.28142,            0.076457,            0.088481,            0.010152,           0.0024798,           0.0071566,           0.0071566,           0.0071566
                  40,            0.070144,            0.020085,           0.0042028,             0.43608,             0.57143,             0.49313,             0.26697,            0.079937,           0.0095184,            0.002716,           0.0070243,           0.0070243,           0.0070243
                  41,            0.063406,            0.022113,           0.0041008,             0.40031,                0.75,             0.55954,             0.32755,            0.071868,           0.0089303,           0.0021031,           0.0068906,           0.0068906,           0.0068906
                  42,            0.057861,            0.021502,           0.0038523,              0.4035,                 0.5,             0.45558,             0.29888,            0.087561,           0.0080876,           0.0023489,           0.0067555,           0.0067555,           0.0067555
                  43,            0.060839,            0.019322,           0.0041534,             0.47671,             0.57143,             0.50943,             0.30663,            0.073355,           0.0087569,           0.0020511,           0.0066191,           0.0066191,           0.0066191
                  44,            0.064492,            0.019697,            0.002902,             0.45403,             0.57143,             0.50228,             0.30194,             0.08964,           0.0079086,           0.0018514,           0.0064816,           0.0064816,           0.0064816
                  45,            0.063603,            0.019872,             0.00351,             0.37807,             0.60714,              0.4412,             0.15136,            0.077998,           0.0085091,           0.0016228,           0.0063432,           0.0063432,           0.0063432
                  46,            0.059572,            0.020524,           0.0033881,             0.54458,                 0.5,             0.50062,             0.16355,            0.077886,           0.0084378,           0.0017401,            0.006204,            0.006204,            0.006204
                  47,            0.050789,            0.018999,           0.0041015,             0.54849,              0.5448,             0.51428,              0.2903,             0.07141,           0.0087341,           0.0016075,            0.006064,            0.006064,            0.006064
                  48,            0.047607,            0.020073,           0.0031253,              0.5034,             0.71415,             0.59421,             0.28567,            0.069223,           0.0090609,           0.0012476,           0.0059235,           0.0059235,           0.0059235
                  49,            0.057252,            0.016519,           0.0027456,             0.31368,                 0.5,             0.35998,            0.099834,            0.085346,           0.0078236,           0.0014953,           0.0057826,           0.0057826,           0.0057826
                  50,            0.060418,            0.019066,           0.0035039,             0.51163,             0.64286,             0.54732,             0.34882,            0.068683,            0.008069,           0.0015205,           0.0056413,           0.0056413,           0.0056413
                  51,            0.050815,            0.018707,           0.0041438,             0.54975,             0.57143,             0.52633,             0.31386,            0.074561,           0.0083565,           0.0015919,              0.0055,              0.0055,              0.0055
                  52,            0.052577,            0.018318,           0.0031719,             0.60715,              0.5354,             0.52148,             0.27671,            0.076315,           0.0082755,           0.0015462,           0.0053587,           0.0053587,           0.0053587
                  53,            0.047831,            0.019952,           0.0031271,             0.64324,             0.67857,             0.58666,             0.37465,            0.065027,            0.008409,           0.0013636,           0.0052174,           0.0052174,           0.0052174
                  54,            0.049878,            0.015478,           0.0036303,             0.55879,             0.57143,             0.51576,             0.22716,            0.075703,           0.0081007,           0.0014242,           0.0050765,           0.0050765,           0.0050765
